Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЦАО, р-н Тверской, ул. Петровка, 20/1",Трубная,5,82000000.0,583215.0,140.6,81.6,15.6,5,1917,Вторичка,3.5,2,На улицу и двор,Евроремонт,Нет,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,5,5
"Москва, ЦАО, р-н Тверской, Тверская ул., 12С7",Пушкинская,3,75000000.0,375000.0,200.0,120.0,20.0,6,1917,Вторичка,3.8,4,На улицу и двор,Косметический,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,6,5
"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",Охотный ряд,2,454889566.0,2188021.0,207.9,122.661,35.343,5,2015,Вторичка,2.87,2,На улицу и двор,Без ремонта,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,15,4
"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",Охотный ряд,2,508714883.0,2486388.0,204.6,120.71399999999998,34.782000000000004,6,2015,Вторичка,2.87,2,На улицу и двор,Без ремонта,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,15,4
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 7/5С2",Театральная,5,450000000.0,1700680.0,264.6,156.114,30.0,7,2024,Новостройка,6.0,4,На улицу и двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,5
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 16к1",Чеховская,8,184000000.0,1260274.0,146.0,86.14,24.82,3,2007,Вторичка,2.87,3,На улицу и двор,Дизайнерский,Нет,2,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,6,3
"Москва, ЦАО, р-н Тверской, Тверская ул., 6С6",Тверская,9,103000000.0,645768.0,159.5,94.10499999999999,30.0,4,1891,Вторичка,2.87,2,На улицу и двор,Дизайнерский,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,4,5
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 7/5С2",Театральная,4,450000000.0,1518219.0,296.4,174.87599999999998,50.388,7,2024,Вторичка,2.87,3,На улицу,Без ремонта,Да,1,Монолитный,Железобетонные,Подземная,Центральное,2,Неизвестно,7,5
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 12к8",Улица 1905 года,5,59900000.0,1089091.0,55.0,33.0,9.350000000000001,10,2024,Новостройка,3.0,1,На улицу,Косметический,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,21,2
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,1,98000000.0,1113636.0,88.0,51.919999999999995,14.96,2,2015,Вторичка,4.0,2,На улицу,Дизайнерский,Да,1,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,5,2
"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",Охотный ряд,1,114373825.0,1413768.0,80.9,47.731,13.753000000000002,4,2015,Вторичка,2.87,2,Во двор,Без ремонта,Да,1,Монолитный,Нет информации,Подземная,Нет информации,2,Неизвестно,15,2
"Москва, ЦАО, р-н Тверской, Тверская ул., 4",Охотный ряд,2,110000000.0,1000000.0,110.0,67.0,13.0,4,1938,Вторичка,2.87,4,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 7/5С2",Театральная,4,382500000.0,1275000.0,300.0,177.0,51.00000000000001,7,2016,Вторичка,2.87,4,На улицу и двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,3,Неизвестно,7,5
"Москва, Ордынский туп., 4А",Третьяковская,2,800000000.0,3333333.0,240.0,140.0,15.0,7,2018,Вторичка,2.87,3,Во двор,Дизайнерский,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,9,4
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,1,100000000.0,970874.0,103.0,60.769999999999996,15.0,2,2015,Вторичка,4.0,2,Во двор,Дизайнерский,Да,0,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,5,2
"Москва, ЦАО, р-н Арбат, Хлебный пер., 9",Арбатская,7,34500000.0,590753.0,58.4,30.0,8.0,4,1908,Вторичка,3.0,1,Во двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Пресненский, Малый Кисловский пер., 3",Арбатская,5,257400000.0,1800000.0,143.0,84.36999999999999,22.0,6,1920,Вторичка,2.87,3,Во двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,3,Неизвестно,8,3
"Москва, ЦАО, р-н Тверской, пер. Брюсов, 8-10С2",Охотный ряд,5,250000000.0,1814224.0,137.8,98.5,27.0,6,1917,Вторичка,3.0,2,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,8,5
"Москва, ЦАО, р-н Мещанский, Варсонофьевский пер., 6",Кузнецкий мост,4,149183250.0,671997.0,222.0,130.98,37.74,6,1896,Вторичка,2.87,3,Во двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,6,5
"Москва, ЦАО, р-н Тверской, Газетный пер., 13",Охотный ряд,6,99970000.0,666467.0,150.0,88.5,15.0,13,1956,Вторичка,3.2,3,На улицу и двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,14,3
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 7/5С2",Охотный ряд,6,375000000.0,3125000.0,120.0,70.8,20.400000000000002,5,2018,Вторичка,3.85,3,На улицу и двор,Дизайнерский,Да,1,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 7/5С2",Театральная,5,357500000.0,3060788.0,116.8,68.91199999999999,10.0,5,2016,Вторичка,3.85,3,На улицу и двор,Дизайнерский,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,1,333175925.0,2665407.0,125.0,73.75,21.25,2,2024,Вторичка,3.2,3,На улицу и двор,Дизайнерский,Нет,0,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,5,3
"Москва, ЦАО, р-н Тверской, Тверская ул., 15",Тверская,4,55000000.0,768156.0,71.6,55.0,9.0,2,1940,Вторичка,3.2,2,На улицу и двор,Дизайнерский,Нет,1,Кирпичный,Нет информации,Подземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,5,68850000.0,1041604.0,66.1,38.998999999999995,11.237,5,2016,Вторичка,4.15,1,Во двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,2
"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 32/9",Арбатская,6,208604800.0,887680.0,235.0,187.0,25.0,6,1905,Вторичка,3.95,4,На улицу и двор,Евроремонт,Нет,2,Кирпичный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,8,5
"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 39",Боровицкая,13,77200000.0,749515.0,103.0,56.0,14.0,5,1979,Вторичка,2.87,2,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,12,3
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 4",Охотный ряд,9,54000000.0,900000.0,60.0,34.0,11.0,2,1976,Вторичка,2.87,1,На улицу и двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Нет информации,1,Неизвестно,8,2
"Москва, ЦАО, р-н Мещанский, Звонарский пер., 3",Кузнецкий мост,6,170000000.0,997067.0,170.5,77.0,17.0,6,2019,Вторичка,3.2,1,На улицу и двор,Без ремонта,Да,2,Монолитный,Железобетонные,Подземная,Центральное,2,Неизвестно,10,4
"Москва, ЦАО, р-н Мещанский, ул. Кузнецкий Мост, 12/3С1",Кузнецкий мост,3,115000000.0,1372315.0,83.8,49.44199999999999,14.246,3,2024,Новостройка,2.87,2,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,6,3
"Москва, ЦАО, р-н Мещанский, ул. Кузнецкий Мост, 12/3С1",Кузнецкий мост,3,125000000.0,1493429.0,83.7,49.382999999999996,14.229000000000001,3,2024,Новостройка,2.87,2,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,6,3
"Москва, ЦАО, р-н Пресненский, Хлебный пер., 2/3С2",Арбатская,6,151238480.0,1292637.0,117.0,70.0,12.0,2,1913,Вторичка,3.2,1,Во двор,Евроремонт,Нет,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3
"Москва, ЦАО, р-н Мещанский, Варсонофьевский пер., 6",Кузнецкий мост,4,149183250.0,668983.0,223.0,140.0,20.0,5,1896,Вторичка,2.87,3,На улицу и двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,5
