Vremja_do_metro,Obschaja_ploschad,Zhilaja_ploschad,Ploschad_kuhni,Etazh,God_postrojki,Tip_zhilja,Vysota_potolkov,Sanuzel,Vid_iz_okon,Remont,Musoroprovod,Kolichestvo_liftov,Tip_doma,Tip_perekrytij,Parkovka,Otoplenie,Balkonlodzhija,Otdelka,Etazhnost_zdanija,Kolvo_komnat,shirota_doma,dolgota_doma,Rasstojanie_do_tsentra,Rasstojanie_do_metro,Okrug,Tsena_za_kvadrat_log
4,68.4,31.1,16.0,9,2024,Новостройка,3.1,2,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,24,2,55.777105,37.526941,6.460110311128524,0.4800702234429748,САО,13.122363377404328
16,63.5,47.0,10.0,2,1974,Вторичка,2.64,1,Во двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,3,55.833698,37.421524,15.366871462867225,1.2539420931816274,СЗАО,12.190197296371883
5,32.8,15.0,10.7,19,2021,Вторичка,2.7,1,Во двор,Косметический,Нет,2,Панельный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,20,1,55.558396,37.60028,21.771807229424148,2.635588704114707,ЮЗАО,12.441338424846231
19,56.5,40.5,5.6,6,1967,Вторичка,2.75,1,Во двор,Косметический,Да,1,Блочный,Железобетонные,Наземная,Центральное,2,Неизвестно,10,3,55.731769,37.535116,5.917965822123352,0.9548914912482966,ЗАО,12.522108911478483
11,83.0,56.0,13.0,2,1955,Вторичка,3.0,1,На улицу,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,4,55.686066,37.541243,9.037082578492788,0.875622094807437,ЮЗАО,12.94052250506309
6,53.4,32.0,9.2,13,1976,Вторичка,2.64,1,Во двор,Без ремонта,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2,55.776629,37.644082,2.9445726861497894,0.7398305679686659,ЦАО,12.808115539105492
7,376.0,235.0,31.0,8,2001,Вторичка,2.87,4,На улицу и двор,Дизайнерский,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,10,5,55.763797,37.570995,3.340360091943288,0.6116847931514888,ЦАО,12.55874860417512
2,55.24,14.7,21.5,2,2024,Новостройка,3.35,2,Во двор,Косметический,Да,0,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,4,1,55.755292,37.623977,0.26441082868453225,0.1859873525682899,ЦАО,14.51865460294815
11,32.6,18.9,6.8,1,1967,Вторичка,2.64,1,На улицу и двор,Косметический,Да,1,Панельный,Нет информации,Наземная,Центральное,1,Неизвестно,9,1,55.809848,37.567554,7.105258943369808,0.89513813863131,СВАО,12.933886917998421
9,133.9,68.0,30.0,2,1910,Вторичка,3.25,2,Во двор,Косметический,Да,1,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,4,3,55.753787,37.593471,1.7305969676401527,0.5313698055494495,ЦАО,13.831071850561965
11,33.3,18.0,9.0,12,1985,Вторичка,2.6,1,Во двор,Без ремонта,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,1,55.627234,37.736905,15.843925805226094,0.7997389626037906,ЮАО,12.60248691811792
14,75.5,26.2,32.5,24,2024,Новостройка,3.1,2,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,26,2,55.773484,37.572899,3.7459821098981743,0.728829659615964,САО,13.412013511950809
9,45.2,30.6,6.0,4,1965,Вторичка,2.48,1,Во двор,Евроремонт,Да,0,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.628276,37.672136,14.317927577227966,0.7658881959913972,ЮАО,12.59966758106785
15,126.3,45.3,21.471,7,2024,Новостройка,3.25,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Без отделки,18,3,55.714632,37.572046,5.318643377231018,0.9256789075679911,ЗАО,13.74600827103302
